scenarioID [],I [],V [V],wireGauge [],turns [],radius [m],wireGauge_car [],turns_car [],radius_car [m],height [m],spacing [m],velocity [m/s],totalCharge [C],cost [$],cost/charge [$/C]
1,1,100,6,410,1,8,320,1.5,0.15,0.09,30,2142.686079,1875472.063,875.2901705
5,5,100,6,410,1,8,320,1.5,0.15,0.18,30,2171.598539,1798044.318,827.9819154
9,9,100,6,410,1,8,320,1.5,0.15,0.27,30,2214.177532,1726756.217,779.8634899
13,13,100,6,410,1,8,320,1.5,0.15,0.36,30,2309.662167,1660905.344,719.1118111
2,2,100,6,460,1,8,320,1.5,0.15,0.09,30,2105.039096,1785330.514,848.1222592
6,6,100,6,460,1,8,320,1.5,0.15,0.18,30,2223.39296,1711624.208,769.825325
10,10,100,6,460,1,8,320,1.5,0.15,0.27,30,2232.768259,1643762.456,736.1993118
14,14,100,6,460,1,8,320,1.5,0.15,0.36,30,2280.222937,1581076.599,693.3868499
3,3,100,6,510,1,8,320,1.5,0.15,0.09,30,2055.686859,1724548.06,838.9157389
7,7,100,6,510,1,8,320,1.5,0.15,0.18,30,2115.082432,1653351.122,781.6958319
11,11,100,6,510,1,8,320,1.5,0.15,0.27,30,2146.631452,1587799.756,739.670405
15,15,100,6,510,1,8,320,1.5,0.15,0.36,30,2198.446712,1527248.07,694.6941501
4,4,100,6,560,1,8,320,1.5,0.15,0.09,30,2031.420175,1685274.676,829.6041834
8,8,100,6,560,1,8,320,1.5,0.15,0.18,30,2049.213218,1615699.116,788.4485136
12,12,100,6,560,1,8,320,1.5,0.15,0.27,30,2084.658997,1551640.56,744.3138482
16,16,100,6,560,1,8,320,1.5,0.15,0.36,30,2165.987048,1492467.827,689.0474383
