scnearioID,V,wireGauge,turns,radius,wireGauge_car,turns_car,radius_car,height,spacing,velocity,totCharge
1,96,8,230,1.50E+00,12,410,2.50E+00,0,3,18,3.26E+02
2,96,8,230,1.50E+00,12,570,2.50E+00,0,3,18,4.54E+02
3,96,8,230,1.50E+00,12,410,2.50E+00,0,3,36,3.26E+02
4,96,8,230,1.50E+00,12,570,2.50E+00,0,3,36,4.54E+02
5,600,8,230,1.50E+00,12,410,2.50E+00,0,3,18,2.04E+03
6,600,8,230,1.50E+00,12,570,2.50E+00,0,3,18,2.84E+03
7,600,8,230,1.50E+00,12,410,2.50E+00,0,3,36,2.04E+03
8,600,8,230,1.50E+00,12,570,2.50E+00,0,3,36,2.84E+03
9,96,8,320,1.50E+00,12,410,2.50E+00,0,3,18,2.16E+02
10,96,8,320,1.50E+00,12,570,2.50E+00,0,3,18,3.01E+02
11,96,8,320,1.50E+00,12,410,2.50E+00,0,3,36,2.16E+02
12,96,8,320,1.50E+00,12,570,2.50E+00,0,3,36,3.01E+02
13,600,8,320,1.50E+00,12,410,2.50E+00,0,3,18,1.35E+03
14,600,8,320,1.50E+00,12,570,2.50E+00,0,3,18,1.88E+03
15,600,8,320,1.50E+00,12,410,2.50E+00,0,3,36,1.35E+03
16,600,8,320,1.50E+00,12,570,2.50E+00,0,3,36,1.88E+03
17,96,8,230,2,12,410,2.50E+00,0,3,18,5.02E+02
18,96,8,230,2,12,570,2.50E+00,0,3,18,6.98E+02
19,96,8,230,2,12,410,2.50E+00,0,3,36,5.02E+02
20,96,8,230,2,12,570,2.50E+00,0,3,36,6.98E+02
21,600,8,230,2,12,410,2.50E+00,0,3,18,3.14E+03
22,600,8,230,2,12,570,2.50E+00,0,3,18,4.36E+03
23,600,8,230,2,12,410,2.50E+00,0,3,36,3.14E+03
24,600,8,230,2,12,570,2.50E+00,0,3,36,4.36E+03
25,96,8,320,2,12,410,2.50E+00,0,3,18,3.57E+02
26,96,8,320,2,12,570,2.50E+00,0,3,18,4.97E+02
27,96,8,320,2,12,410,2.50E+00,0,3,36,3.57E+02
28,96,8,320,2,12,570,2.50E+00,0,3,36,4.97E+02
29,600,8,320,2,12,410,2.50E+00,0,3,18,2.23E+03
30,600,8,320,2,12,570,2.50E+00,0,3,18,3.11E+03
31,600,8,320,2,12,410,2.50E+00,0,3,36,2.23E+03
32,600,8,320,2,12,570,2.50E+00,0,3,36,3.11E+03
33,96,8,230,1.50E+00,12,410,4,0,3,18,2.57E+02
34,96,8,230,1.50E+00,12,570,4,0,3,18,3.57E+02
35,96,8,230,1.50E+00,12,410,4,0,3,36,2.57E+02
36,96,8,230,1.50E+00,12,570,4,0,3,36,3.57E+02
37,600,8,230,1.50E+00,12,410,4,0,3,18,1.61E+03
38,600,8,230,1.50E+00,12,570,4,0,3,18,2.23E+03
39,600,8,230,1.50E+00,12,410,4,0,3,36,1.61E+03
40,600,8,230,1.50E+00,12,570,4,0,3,36,2.23E+03
41,96,8,320,1.50E+00,12,410,4,0,3,18,1.79E+02
42,96,8,320,1.50E+00,12,570,4,0,3,18,2.49E+02
