scenarioID,i,V,wireGauge,turns,radius,wireGauge_car,turns_car,radius_car,height,spacing,velocity,totalCharge,cost,cost/charge
[],[],[V],[],[],[m],[],[],[m],[m],[m],[m/s],[C],[$],[$/C]
1,1,100,6,410,1,8,320,1.500000e+00,1.500000e-01,9.000000e-02,30,2.142686e+03,1.875472e+06,8.752902e+02,
2,2,100,6,460,1,8,320,1.500000e+00,1.500000e-01,9.000000e-02,30,2.105039e+03,1.785331e+06,8.481223e+02,
3,3,100,6,510,1,8,320,1.500000e+00,1.500000e-01,9.000000e-02,30,2.055687e+03,1.724548e+06,8.389157e+02,
7,7,100,6,510,1,8,320,1.500000e+00,1.500000e-01,1.800000e-01,30,2.115082e+03,1.653351e+06,7.816958e+02,
4,4,100,6,560,1,8,320,1.500000e+00,1.500000e-01,9.000000e-02,30,2.031420e+03,1.685275e+06,8.296042e+02,
8,8,100,6,560,1,8,320,1.500000e+00,1.500000e-01,1.800000e-01,30,2.049213e+03,1.615699e+06,7.884485e+02,
5,5,100,6,410,1,8,320,1.500000e+00,1.500000e-01,1.800000e-01,30,2.171599e+03,1.798044e+06,8.279819e+02,
9,9,100,6,410,1,8,320,1.500000e+00,1.500000e-01,2.700000e-01,30,2.214178e+03,1.726756e+06,7.798635e+02,
6,6,100,6,460,1,8,320,1.500000e+00,1.500000e-01,1.800000e-01,30,2.223393e+03,1.711624e+06,7.698253e+02,
10,10,100,6,460,1,8,320,1.500000e+00,1.500000e-01,2.700000e-01,30,2.232768e+03,1.643762e+06,7.361993e+02,
11,11,100,6,510,1,8,320,1.500000e+00,1.500000e-01,2.700000e-01,30,2.146631e+03,1.587800e+06,7.396704e+02,
13,13,100,6,410,1,8,320,1.500000e+00,1.500000e-01,3.600000e-01,30,2.309662e+03,1.660905e+06,7.191118e+02,
14,14,100,6,460,1,8,320,1.500000e+00,1.500000e-01,3.600000e-01,30,2.280223e+03,1.581077e+06,6.933868e+02,
12,12,100,6,560,1,8,320,1.500000e+00,1.500000e-01,2.700000e-01,30,2.084659e+03,1.551641e+06,7.443138e+02,
16,16,100,6,560,1,8,320,1.500000e+00,1.500000e-01,3.600000e-01,30,2.165987e+03,1.492468e+06,6.890474e+02,
15,15,100,6,510,1,8,320,1.500000e+00,1.500000e-01,3.600000e-01,30,2.198447e+03,1.527248e+06,6.946942e+02,
