scenarioID [],i [],V [V],wireGauge [],turns [],radius [m],wireGauge_car [],turns_car [],radius_car [m],height [m],spacing [m],velocity [m/s],totalCharge [C],cost [$],cost/charge [$/C],,best for the money,,most overall
1,1,100,6,410,1,8,230,1.5,0.15,0,30,1,1959868.306,1959868.306,,,,
8193,1025,100,6,410,1,8,230,1.5,0.15,0.18,30,1,1798044.318,1798044.318,,,,
16385,2049,100,6,410,1,8,230,1.5,0.15,0.36,30,1,1660905.344,1660905.344,,,,
4097,513,100,6,410,1,8,230,1.5,0.3,0,30,1,1959868.306,1959868.306,,,,
12289,1537,100,6,410,1,8,230,1.5,0.3,0.18,30,1,1798044.318,1798044.318,,,,
20481,2561,100,6,410,1,8,230,1.5,0.3,0.36,30,1,1660905.344,1660905.344,,,,
1025,129,100,6,410,1,8,230,1.7,0.15,0,30,1,1959868.306,1959868.306,,,,
9217,1153,100,6,410,1,8,230,1.7,0.15,0.18,30,1,1798044.318,1798044.318,,,,
17409,2177,100,6,410,1,8,230,1.7,0.15,0.36,30,1,1660905.344,1660905.344,,,,
5121,641,100,6,410,1,8,230,1.7,0.3,0,30,1,1959868.306,1959868.306,,,,
13313,1665,100,6,410,1,8,230,1.7,0.3,0.18,30,1,1798044.318,1798044.318,,,,
21505,2689,100,6,410,1,8,230,1.7,0.3,0.36,30,1,1660905.344,1660905.344,,,,
2049,257,100,6,410,1,8,230,1.9,0.15,0,30,1,1959868.306,1959868.306,,,,
10241,1281,100,6,410,1,8,230,1.9,0.15,0.18,30,1,1798044.318,1798044.318,,,,
18433,2305,100,6,410,1,8,230,1.9,0.15,0.36,30,1,1660905.344,1660905.344,,,,
6145,769,100,6,410,1,8,230,1.9,0.3,0,30,1,1959868.306,1959868.306,,,,
14337,1793,100,6,410,1,8,230,1.9,0.3,0.18,30,1,1798044.318,1798044.318,,,,
22529,2817,100,6,410,1,8,230,1.9,0.3,0.36,30,1,1660905.344,1660905.344,,,,
3073,385,100,6,410,1,8,230,2.1,0.15,0,30,1,1959868.306,1959868.306,,,,
11265,1409,100,6,410,1,8,230,2.1,0.15,0.18,30,1,1798044.318,1798044.318,,,,
19457,2433,100,6,410,1,8,230,2.1,0.15,0.36,30,1,1660905.344,1660905.344,,,,
7169,897,100,6,410,1,8,230,2.1,0.3,0,30,1,1959868.306,1959868.306,,,,
15361,1921,100,6,410,1,8,230,2.1,0.3,0.18,30,1,1798044.318,1798044.318,,,,
23553,2945,100,6,410,1,8,230,2.1,0.3,0.36,30,1,1660905.344,1660905.344,,,,
3,1,100,6,410,1,8,260,1.5,0.15,0,30,1,1959868.306,1959868.306,,,,
8195,1025,100,6,410,1,8,260,1.5,0.15,0.18,30,1,1798044.318,1798044.318,,,,
16387,2049,100,6,410,1,8,260,1.5,0.15,0.36,30,1,1660905.344,1660905.344,,,,
4099,513,100,6,410,1,8,260,1.5,0.3,0,30,1,1959868.306,1959868.306,,,,
12291,1537,100,6,410,1,8,260,1.5,0.3,0.18,30,1,1798044.318,1798044.318,,,,
20483,2561,100,6,410,1,8,260,1.5,0.3,0.36,30,1,1660905.344,1660905.344,,,,
1027,129,100,6,410,1,8,260,1.7,0.15,0,30,1,1959868.306,1959868.306,,,,
9219,1153,100,6,410,1,8,260,1.7,0.15,0.18,30,1,1798044.318,1798044.318,,,,
17411,2177,100,6,410,1,8,260,1.7,0.15,0.36,30,1,1660905.344,1660905.344,,,,
5123,641,100,6,410,1,8,260,1.7,0.3,0,30,1,1959868.306,1959868.306,,,,
13315,1665,100,6,410,1,8,260,1.7,0.3,0.18,30,1,1798044.318,1798044.318,,,,
21507,2689,100,6,410,1,8,260,1.7,0.3,0.36,30,1,1660905.344,1660905.344,,,,
2051,257,100,6,410,1,8,260,1.9,0.15,0,30,1,1959868.306,1959868.306,,,,
10243,1281,100,6,410,1,8,260,1.9,0.15,0.18,30,1,1798044.318,1798044.318,,,,
18435,2305,100,6,410,1,8,260,1.9,0.15,0.36,30,1,1660905.344,1660905.344,,,,
6147,769,100,6,410,1,8,260,1.9,0.3,0,30,1,1959868.306,1959868.306,,,,
14339,1793,100,6,410,1,8,260,1.9,0.3,0.18,30,1,1798044.318,1798044.318,,,,
22531,2817,100,6,410,1,8,260,1.9,0.3,0.36,30,1,1660905.344,1660905.344,,,,
3075,385,100,6,410,1,8,260,2.1,0.15,0,30,1,1959868.306,1959868.306,,,,
11267,1409,100,6,410,1,8,260,2.1,0.15,0.18,30,1,1798044.318,1798044.318,,,,
19459,2433,100,6,410,1,8,260,2.1,0.15,0.36,30,1,1660905.344,1660905.344,,,,
7171,897,100,6,410,1,8,260,2.1,0.3,0,30,1,1959868.306,1959868.306,,,,
15363,1921,100,6,410,1,8,260,2.1,0.3,0.18,30,1,1798044.318,1798044.318,,,,
23555,2945,100,6,410,1,8,260,2.1,0.3,0.36,30,1,1660905.344,1660905.344,,,,
5,1,100,6,410,1,8,290,1.5,0.15,0,30,1,1959868.306,1959868.306,,,,
8197,1025,100,6,410,1,8,290,1.5,0.15,0.18,30,1,1798044.318,1798044.318,,,,
16389,2049,100,6,410,1,8,290,1.5,0.15,0.36,30,1,1660905.344,1660905.344,,,,
4101,513,100,6,410,1,8,290,1.5,0.3,0,30,1,1959868.306,1959868.306,,,,
12293,1537,100,6,410,1,8,290,1.5,0.3,0.18,30,1,1798044.318,1798044.318,,,,
20485,2561,100,6,410,1,8,290,1.5,0.3,0.36,30,1,1660905.344,1660905.344,,,,
1029,129,100,6,410,1,8,290,1.7,0.15,0,30,1,1959868.306,1959868.306,,,,
9221,1153,100,6,410,1,8,290,1.7,0.15,0.18,30,1,1798044.318,1798044.318,,,,
17413,2177,100,6,410,1,8,290,1.7,0.15,0.36,30,1,1660905.344,1660905.344,,,,
5125,641,100,6,410,1,8,290,1.7,0.3,0,30,1,1959868.306,1959868.306,,,,
13317,1665,100,6,410,1,8,290,1.7,0.3,0.18,30,1,1798044.318,1798044.318,,,,
21509,2689,100,6,410,1,8,290,1.7,0.3,0.36,30,1,1660905.344,1660905.344,,,,
2053,257,100,6,410,1,8,290,1.9,0.15,0,30,1,1959868.306,1959868.306,,,,
10245,1281,100,6,410,1,8,290,1.9,0.15,0.18,30,1,1798044.318,1798044.318,,,,
18437,2305,100,6,410,1,8,290,1.9,0.15,0.36,30,1,1660905.344,1660905.344,,,,
6149,769,100,6,410,1,8,290,1.9,0.3,0,30,1,1959868.306,1959868.306,,,,
14341,1793,100,6,410,1,8,290,1.9,0.3,0.18,30,1,1798044.318,1798044.318,,,,
22533,2817,100,6,410,1,8,290,1.9,0.3,0.36,30,1,1660905.344,1660905.344,,,,
3077,385,100,6,410,1,8,290,2.1,0.15,0,30,1,1959868.306,1959868.306,,,,
11269,1409,100,6,410,1,8,290,2.1,0.15,0.18,30,1,1798044.318,1798044.318,,,,
19461,2433,100,6,410,1,8,290,2.1,0.15,0.36,30,1,1660905.344,1660905.344,,,,
7173,897,100,6,410,1,8,290,2.1,0.3,0,30,1,1959868.306,1959868.306,,,,
15365,1921,100,6,410,1,8,290,2.1,0.3,0.18,30,1,1798044.318,1798044.318,,,,
23557,2945,100,6,410,1,8,290,2.1,0.3,0.36,30,1,1660905.344,1660905.344,,,,
7,1,100,6,410,1,8,320,1.5,0.15,0,30,1,1959868.306,1959868.306,,,,
8199,1025,100,6,410,1,8,320,1.5,0.15,0.18,30,1,1798044.318,1798044.318,,,,
16391,2049,100,6,410,1,8,320,1.5,0.15,0.36,30,1,1660905.344,1660905.344,,,,
4103,513,100,6,410,1,8,320,1.5,0.3,0,30,1,1959868.306,1959868.306,,,,
12295,1537,100,6,410,1,8,320,1.5,0.3,0.18,30,1,1798044.318,1798044.318,,,,
20487,2561,100,6,410,1,8,320,1.5,0.3,0.36,30,1,1660905.344,1660905.344,,,,
1031,129,100,6,410,1,8,320,1.7,0.15,0,30,1,1959868.306,1959868.306,,,,
9223,1153,100,6,410,1,8,320,1.7,0.15,0.18,30,1,1798044.318,1798044.318,,,,
