scenarioID,i,V,wireGauge,turns,radius,wireGauge_car,turns_car,radius_car,height,spacing,velocity,totalCharge,cost,cost/charge
[],[],[V],[],[],[m],[],[],[m],[m],[m],[m/s],[C],[$],[C/$]
1,1,100,6,410,1,8,230,1.500000e+00,1.500000e-01,0,30,2.159103e+03,2.449835e+03,1.134654e+00,
2,1,100,6,410,1,12,230,1.500000e+00,1.500000e-01,0,30,8.536530e+02,2.449835e+03,2.869826e+00,
3,1,100,6,410,1,8,260,1.500000e+00,1.500000e-01,0,30,2.160182e+03,2.449835e+03,1.134087e+00,
4,1,100,6,410,1,12,260,1.500000e+00,1.500000e-01,0,30,8.540796e+02,2.449835e+03,2.868392e+00,
5,1,100,6,410,1,8,290,1.500000e+00,1.500000e-01,0,30,2.161039e+03,2.449835e+03,1.133638e+00,
6,1,100,6,410,1,12,290,1.500000e+00,1.500000e-01,0,30,8.544183e+02,2.449835e+03,2.867255e+00,
7,1,100,6,410,1,8,320,1.500000e+00,1.500000e-01,0,30,2.161735e+03,2.449835e+03,1.133273e+00,
8,1,100,6,410,1,12,320,1.500000e+00,1.500000e-01,0,30,8.546936e+02,2.449835e+03,2.866332e+00,
9,2,250,6,410,1,8,230,1.500000e+00,1.500000e-01,0,30,5.397758e+03,1.193577e+04,2.211246e+00,
10,2,250,6,410,1,12,230,1.500000e+00,1.500000e-01,0,30,2.134133e+03,1.193577e+04,5.592797e+00,
11,2,250,6,410,1,8,260,1.500000e+00,1.500000e-01,0,30,5.400455e+03,1.193577e+04,2.210141e+00,
12,2,250,6,410,1,12,260,1.500000e+00,1.500000e-01,0,30,2.135199e+03,1.193577e+04,5.590003e+00,
13,2,250,6,410,1,8,290,1.500000e+00,1.500000e-01,0,30,5.402596e+03,1.193577e+04,2.209265e+00,
14,2,250,6,410,1,12,290,1.500000e+00,1.500000e-01,0,30,2.136046e+03,1.193577e+04,5.587788e+00,
15,2,250,6,410,1,8,320,1.500000e+00,1.500000e-01,0,30,5.404338e+03,1.193577e+04,2.208554e+00,
16,2,250,6,410,1,12,320,1.500000e+00,1.500000e-01,0,30,2.136734e+03,1.193577e+04,5.585987e+00,
17,3,450,6,410,1,8,230,1.500000e+00,1.500000e-01,0,30,9.715964e+03,3.723159e+04,3.832002e+00,
18,3,450,6,410,1,12,230,1.500000e+00,1.500000e-01,0,30,3.841439e+03,3.723159e+04,9.692097e+00,
19,3,450,6,410,1,8,260,1.500000e+00,1.500000e-01,0,30,9.720819e+03,3.723159e+04,3.830088e+00,
20,3,450,6,410,1,12,260,1.500000e+00,1.500000e-01,0,30,3.843358e+03,3.723159e+04,9.687255e+00,
21,3,450,6,410,1,8,290,1.500000e+00,1.500000e-01,0,30,9.724674e+03,3.723159e+04,3.828570e+00,
22,3,450,6,410,1,12,290,1.500000e+00,1.500000e-01,0,30,3.844882e+03,3.723159e+04,9.683416e+00,
23,3,450,6,410,1,8,320,1.500000e+00,1.500000e-01,0,30,9.727808e+03,3.723159e+04,3.827336e+00,
24,3,450,6,410,1,12,320,1.500000e+00,1.500000e-01,0,30,3.846121e+03,3.723159e+04,9.680296e+00,
